timestamp,mic0,mic1,mic2,mic3
0,53.0,53.0,54.0,53.0
2,53.0,53.0,53.0,53.0
4,54.0,53.0,53.0,53.0
6,53.0,53.0,53.0,53.0
8,53.0,53.0,53.0,53.0
10,53.0,52.0,53.0,53.0
12,54.0,52.0,54.0,53.0
14,53.0,53.0,54.0,53.0
16,53.0,53.0,54.0,53.0
18,53.0,53.0,54.0,53.0
20,54.0,53.0,54.0,53.0
22,53.0,53.0,53.0,53.0
24,54.0,53.0,54.0,53.0
26,53.0,53.0,54.0,53.0
28,53.0,53.0,53.0,53.0
30,54.0,53.0,54.0,53.0
32,53.0,53.0,54.0,53.0
34,53.0,53.0,54.0,53.0
36,53.0,53.0,53.0,53.0
38,53.0,53.0,54.0,53.0
40,54.0,52.0,54.0,53.0
42,53.0,53.0,54.0,53.0
44,53.0,53.0,54.0,53.0
46,53.0,53.0,53.0,53.0
48,53.0,53.0,53.0,53.0
50,53.0,52.0,53.0,53.0
52,53.0,53.0,53.0,53.0
54,53.0,53.0,54.0,52.0
56,54.0,52.0,54.0,53.0
58,53.0,53.0,53.0,53.0
60,53.0,53.0,54.0,53.0
62,53.0,53.0,54.0,53.0
64,53.0,53.0,54.0,53.0
66,53.0,52.0,53.0,53.0
68,53.0,53.0,53.0,53.0
70,53.0,53.0,54.0,53.0
72,53.0,53.0,53.0,53.0
74,53.0,53.0,54.0,53.0
76,53.0,53.0,54.0,53.0
78,53.0,53.0,53.0,53.0
80,53.0,53.0,53.0,53.0
82,54.0,53.0,53.0,53.0
84,53.0,53.0,54.0,53.0
86,53.0,52.0,53.0,53.0
88,54.0,53.0,54.0,53.0
90,53.0,53.0,53.0,53.0
92,54.0,53.0,53.0,53.0
94,53.0,53.0,53.0,52.0
96,53.0,53.0,54.0,53.0
98,53.0,53.0,54.0,53.0
100,53.0,53.0,54.0,53.0
102,53.0,53.0,54.0,53.0
104,53.0,52.0,54.0,53.0
106,53.0,53.0,53.0,53.0
108,53.0,53.0,54.0,52.0
110,53.0,53.0,54.0,53.0
112,53.0,52.0,53.0,53.0
114,53.0,53.0,54.0,53.0
116,53.0,53.0,54.0,53.0
118,53.0,53.0,54.0,53.0
120,54.0,53.0,53.0,53.0
122,53.0,53.0,53.0,53.0
124,53.0,52.0,53.0,52.0
126,53.0,53.0,53.0,53.0
128,54.0,52.0,54.0,53.0
130,53.0,52.0,54.0,53.0
132,53.0,53.0,54.0,52.0
134,53.0,53.0,54.0,53.0
136,54.0,53.0,54.0,53.0
138,53.0,53.0,54.0,53.0
140,53.0,53.0,53.0,53.0
142,53.0,53.0,53.0,53.0
144,53.0,53.0,54.0,53.0
146,53.0,52.0,54.0,53.0
148,53.0,53.0,54.0,53.0
150,53.0,53.0,53.0,52.0
152,54.0,53.0,53.0,53.0
154,53.0,52.0,53.0,53.0
156,54.0,53.0,54.0,53.0
158,54.0,53.0,53.0,53.0
160,53.0,53.0,53.0,53.0
162,53.0,52.0,53.0,53.0
164,53.0,53.0,54.0,53.0
166,53.0,53.0,54.0,53.0
168,53.0,53.0,54.0,52.0
170,53.0,53.0,54.0,53.0
172,53.0,53.0,54.0,53.0
174,53.0,53.0,53.0,53.0
176,53.0,52.0,53.0,53.0
178,53.0,53.0,54.0,53.0
180,53.0,53.0,53.0,53.0
182,53.0,53.0,54.0,53.0
184,53.0,53.0,53.0,53.0
186,53.0,53.0,53.0,53.0
188,54.0,53.0,53.0,53.0
190,53.0,52.0,54.0,53.0
192,53.0,53.0,53.0,53.0
194,54.0,53.0,53.0,53.0
196,53.0,53.0,54.0,53.0
198,53.0,53.0,54.0,53.0
200,53.0,53.0,54.0,53.0
202,53.0,53.0,53.0,52.0
204,53.0,53.0,53.0,53.0
206,53.0,53.0,54.0,53.0
208,53.0,53.0,53.0,53.0
210,53.0,53.0,54.0,53.0
212,53.0,53.0,54.0,53.0
214,53.0,53.0,54.0,53.0
216,53.0,52.0,54.0,53.0
218,54.0,53.0,53.0,53.0
220,53.0,53.0,54.0,53.0
222,53.0,52.0,53.0,53.0
224,53.0,53.0,54.0,53.0
226,53.0,53.0,53.0,53.0
228,53.0,53.0,54.0,53.0
230,53.0,53.0,54.0,53.0
232,53.0,53.0,53.0,53.0
234,53.0,52.0,53.0,53.0
236,53.0,53.0,53.0,53.0
238,53.0,53.0,54.0,53.0
